project,amt_2024_actual,amt_2025_revised,amt_2025_perf,amt_2026_approved,amt_2027_estimate,amt_2028_estimate,amt_2026_tag_nutrition,source_page,page_y_top,page_y_bottom,mda_code,mda_name,economic_code,economic_name,function_code,function_name,location_code,location_name,program_code,program_name
Construction of additional Offices in the premises of the complex,0.0,12000000.0,0.0,12000000.0,12000000.0,12000000.0,0.0,222,0.61765,0.63562,032600700500,Tenancy Control and Safety of Person Agency,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70361,PUBLIC ORDER AND SAFETY N.E.C.,33312100,WAMAKKO,13100125000100,Reform of Government and Governance - General
Construction of Offices in 23 Local Governments,0.0,50000000.0,0.0,50000000.0,50000000.0,50000000.0,0.0,222,0.62582,0.64379,032600700500,Tenancy Control and Safety of Person Agency,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70361,PUBLIC ORDER AND SAFETY N.E.C.,33342400,State Wide,13100125000200,Reform of Government and Governance - General
Construction of Perimeter Wall fence of the premises of the Commission,0.0,10000000.0,0.0,10000000.0,10000000.0,10000000.0,0.0,222,0.63399,0.65196,032600700500,Tenancy Control and Safety of Person Agency,23020122,CONSTRUCTION OF BOUNDARY PILLARS/ RIGHT OF WAYS,70361,PUBLIC ORDER AND SAFETY N.E.C.,33312100,WAMAKKO,13100125000400,Reform of Government and Governance - General
"Renovation of Youth Development Centre, Sokoto",0.0,100000000.0,0.0,0.0,200000000.0,200000000.0,0.0,222,0.67484,0.69281,051300100100,Ministry of Youth and Sports Development,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124000100,Youth - General
"Purchase of welding machines, vulcanizing machines, electrical and ectronic mechanical tools for Yout",0.0,300000000.0,0.0,200000000.0,200000000.0,200000000.0,0.0,222,0.68382,0.7018,051300100100,Ministry of Youth and Sports Development,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT 70811 - RECREATIONAL AND SPORTING SERVICES,,h Empowerment & Development in the State,33342400,State Wide,08100124000200,Youth - General
"Construction of New Stadium at Sokoto New City, Kasarawa",0.0,398155000.0,0.0,400000000.0,900000000.0,900000000.0,0.0,222,0.69199,0.70997,051300100100,Ministry of Youth and Sports Development,23020112,CONSTRUCTION / PROVISION OF SPORTING FACILITIES,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124000300,Youth - General
"Construction of Indoor Hall at Sokoto New City, Kasarawa",0.0,100000000.0,0.0,300000000.0,300000000.0,300000000.0,0.0,222,0.70016,0.71814,051300100100,Ministry of Youth and Sports Development,23020112,CONSTRUCTION / PROVISION OF SPORTING FACILITIES,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124000400,Youth - General
Renovation of Sokoto United Players Camp,0.0,15000000.0,0.0,10000000.0,10000000.0,10000000.0,0.0,222,0.70833,0.72631,051300100100,Ministry of Youth and Sports Development,23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124000500,Youth - General
Purchase of 10 no chairs and tables for Sports Medical Centre at Giginya Memorial,0.0,12000000.0,0.0,16000000.0,16000000.0,16000000.0,0.0,222,0.7165,0.73448,051300100100,Ministry of Youth and Sports Development,23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124000600,Youth - General
Renovation of Giginya Memorial Stadium,0.0,324168681.0,4650000.0,9000000000.0,1000000000.0,1000000000.0,0.0,222,0.72467,0.74265,051300100100,Ministry of Youth and Sports Development,23030111,REHABILITATION / REPAIRS - SPORTING FACILITIES,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124000700,Youth - General
Renovation of NYSC Orientation Camp at Wamakko,0.0,150000000.0,0.0,1200000000.0,750000000.0,750000000.0,0.0,222,0.73284,0.75082,051300100100,Ministry of Youth and Sports Development,23030118,REHABILITATION / REPAIRS - RECREATIONAL FACILITIES,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124000800,Youth - General
Construction of Zonal Youth Development Centres in the State,0.0,50000000.0,0.0,0.0,0.0,0.0,0.0,222,0.74101,0.75899,051300100100,Ministry of Youth and Sports Development,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124000900,Youth - General
Construction of Perimeter wall fence of New Polo Club at Kwannawa,0.0,0.0,0.0,300000000.0,300000000.0,300000000.0,0.0,222,0.74918,0.76716,051300100100,Ministry of Youth and Sports Development,23020112,CONSTRUCTION / PROVISION OF SPORTING FACILITIES,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100126000100,Youth - General
Procurement of 3 No. of 32 Seater Coaster Bus 2022 model for sporting activities,0.0,0.0,0.0,0.0,300000000.0,300000000.0,0.0,222,0.75735,0.77533,051300100100,Ministry of Youth and Sports Development,23010108,PURCHASE OF BUSES,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124001100,Youth - General
Construction of Administrative block and Pavillion at new Polo Club Kwannawa,0.0,0.0,0.0,200000000.0,200000000.0,200000000.0,0.0,222,0.76552,0.7835,051300100100,Ministry of Youth and Sports Development,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100126000200,Youth - General
Renovation of NYSC Offices at State NYSC Secretariat,0.0,50000000.0,0.0,100000000.0,100000000.0,100000000.0,0.0,222,0.77369,0.79167,051300100100,Ministry of Youth and Sports Development,23030118,REHABILITATION / REPAIRS - RECREATIONAL FACILITIES,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124001300,Youth - General
Purhase and Installtion of Solar at Ministry of Youth and Sport Head Quarters,0.0,10000000.0,0.0,20000000.0,20000000.0,20000000.0,0.0,222,0.78268,0.80065,051300100100,Ministry of Youth and Sports Development,23010119,PURCHASE OF POWER GENERATING SET,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124001500,Youth - General
Construction of Zonal Youth Development Centre at Bodinga,0.0,50000000.0,0.0,0.0,0.0,0.0,0.0,222,0.79085,0.80882,051300100100,Ministry of Youth and Sports Development,23020119,CONSTRUCTION / PROVISION OF RECREATIONAL FACILITIES,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124001600,Youth - General
Construction of Zonal Youth Development Centre at Wamakko,0.0,50000000.0,0.0,0.0,0.0,0.0,0.0,222,0.79902,0.81699,051300100100,Ministry of Youth and Sports Development,23020119,CONSTRUCTION / PROVISION OF RECREATIONAL FACILITIES,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124001700,Youth - General
Construction of Zonal Youth Development Centre at Gwadabawa,0.0,20000000.0,0.0,10000000.0,10000000.0,10000000.0,0.0,222,0.80719,0.82516,051300100100,Ministry of Youth and Sports Development,23020119,CONSTRUCTION / PROVISION OF RECREATIONAL FACILITIES,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124001800,Youth - General
Renovation of Zonal Sports office at Tambuwal,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,222,0.81536,0.83333,051300100100,Ministry of Youth and Sports Development,23030118,REHABILITATION / REPAIRS - RECREATIONAL FACILITIES,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124001900,Youth - General
Renovation of Zonal Sports office at Wurno,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,222,0.82353,0.8415,051300100100,Ministry of Youth and Sports Development,23030118,REHABILITATION / REPAIRS - RECREATIONAL FACILITIES,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124002000,Youth - General
Renovation of Zonal Sports office at Gwadabwa,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,222,0.8317,0.84967,051300100100,Ministry of Youth and Sports Development,23030118,REHABILITATION / REPAIRS - RECREATIONAL FACILITIES,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124002100,Youth - General
Construction of NYSC Zonal monitoring office at Sokoto,0.0,50000000.0,0.0,50000000.0,50000000.0,50000000.0,0.0,222,0.83987,0.85784,051300100100,Ministry of Youth and Sports Development,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124002200,Youth - General
Renovation of NYSC Zonal Office at Bodinga,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,222,0.84804,0.86601,051300100100,Ministry of Youth and Sports Development,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124002300,Youth - General
Renovation of NYSC Zonal Office at Sokoto South,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,222,0.85621,0.87418,051300100100,Ministry of Youth and Sports Development,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124002400,Youth - General
Renovation of NYSC Zonal Office at Tangaza,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,222,0.86438,0.88235,051300100100,Ministry of Youth and Sports Development,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124002500,Youth - General
Construction of Modern Toilet facility at Giginya Memorial Stadium,0.0,60000000.0,0.0,20000000.0,20000000.0,20000000.0,0.0,222,0.87255,0.89052,051300100100,Ministry of Youth and Sports Development,23020112,CONSTRUCTION / PROVISION OF SPORTING FACILITIES,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124002600,Youth - General
Construction of Senator Aliyu Magatakarda Race Course at Durbawa,0.0,500000000.0,0.0,371000000.0,500000000.0,500000000.0,0.0,222,0.88154,0.89951,051300100100,Ministry of Youth and Sports Development,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100124002700,Youth - General
Renovation of Zonal Sports Offices,0.0,0.0,0.0,2000000.0,2000000.0,2000000.0,0.0,222,0.88971,0.90768,051300100100,Ministry of Youth and Sports Development,23030118,REHABILITATION / REPAIRS - RECREATIONAL FACILITIES,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100126000300,Youth - General
Purchase and Distribution of Youth Empowerment and Development Programme Tools and Gadgets,0.0,0.0,0.0,209000000.0,80000000.0,80000000.0,0.0,222,0.89788,0.91585,051300100100,Ministry of Youth and Sports Development,23010126,PURCHASE OF SPORTING / GAMING EQUIPMENT,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100126000400,Youth - General
Construction of Zonal Youth Development Centre at Gwadabawa,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,223,0.09069,0.10866,051300100100,Ministry of Youth and Sports Development,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100126000500,Youth - General
Construction of Zonal Youth Development Centre at Tambuwal,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,223,0.09886,0.11683,051300100100,Ministry of Youth and Sports Development,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100126000600,Youth - General
Construction of mordern traditional Games Facillity at Giginya Memorial Stadium,0.0,0.0,0.0,15000000.0,15000000.0,15000000.0,0.0,223,0.10703,0.125,051300100100,Ministry of Youth and Sports Development,23020119,CONSTRUCTION / PROVISION OF RECREATIONAL FACILITIES,70811,RECREATIONAL AND SPORTING SERVICES,33342400,State Wide,08100126000700,Youth - General
Purchase of 300 Trycle bicycle for disable for ease transportation,0.0,40000000.0,37781400.0,140000000.0,140000000.0,140000000.0,0.0,223,0.14788,0.16585,051300300100,Agency for Persons Living With Disabilities,23010104,PURCHASE MOTOR CYCLES,71012,DISABILITY,33342400,State Wide,23060324000100,Disability Insurance and Disability Benefit
"Purchase of 3 No training equipment for People with special Need Rehabilitation centre at Goronyo, Bodinga and Kware",0.0,30000000.0,21832000.0,130000000.0,130000000.0,130000000.0,0.0,223,0.15605,0.17402,051300300100,Agency for Persons Living With Disabilities,23010124,PURCHASE OF TEACHING / LEARNING AID EQUIPMENT,71012,DISABILITY,33342400,State Wide,23060324000200,Disability Insurance and Disability Benefit
"Procurement of audio and music equipments such as loudspeakers, Amplifiers, FM listening systems, hearing aids, Audio books",0.0,150000000.0,144742741.67,150000000.0,150000000.0,150000000.0,0.0,223,0.16422,0.18219,051300300100,Agency for Persons Living With Disabilities,23010124,PURCHASE OF TEACHING / LEARNING AID EQUIPMENT,71012,DISABILITY,33342400,State Wide,23060324000300,Disability Insurance and Disability Benefit
"Construction of 1 solar powered Borehales 1 in each of centres bodinga, Goronyo and Kware Local Governments.",0.0,30000000.0,0.0,150000000.0,150000000.0,150000000.0,0.0,223,0.17239,0.19036,051300300100,Agency for Persons Living With Disabilities,23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,71012,DISABILITY,33342400,State Wide,23060324000400,Disability Insurance and Disability Benefit
"Renovation of office accomodation in each of the three skill Acquisition centres of Goronyo, Kware and Bodinga",0.0,50000000.0,27608000.0,150000000.0,150000000.0,150000000.0,0.0,223,0.18137,0.19935,051300300100,Agency for Persons Living With Disabilities,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,71012,DISABILITY,33342400,State Wide,23060324000500,Disability Insurance and Disability Benefit
"Purchase of 5 no. leather sewing machines, 5 no. roller machines, 5 no. leather cutting machines, 5 no.",0.0,0.0,0.0,70000000.0,70000000.0,70000000.0,0.0,223,0.18954,0.20752,051300300100,Agency for Persons Living With Disabilities,23010129,PURCHASE OF INDUSTRIAL EQUIPMENT 71012 - DISABILITY,,"intelligent speed regulations, 5 no. butterfly weaving machines",33342400,State Wide,23060324000600,Disability Insurance and Disability Benefit
Small scale loans to boost small Scale Enterprise Industries in the 23 Local Government Areas in the State (Revolving Fund),0.0,0.0,0.0,100000000.0,100000000.0,100000000.0,0.0,223,0.19771,0.21569,051300300100,Agency for Persons Living With Disabilities,23050108,CAPACITY DEVELOPMENT,71012,DISABILITY,33342400,State Wide,23060324000700,Disability Insurance and Disability Benefit
Re-Capitalisation & Acquisition of Shares by Investment Company,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,223,0.20588,0.22386,051300300100,Agency for Persons Living With Disabilities,23050101,RESEARCH AND DEVELOPMENT,71012,DISABILITY,33342400,State Wide,23060324000800,Disability Insurance and Disability Benefit
Funding of feasibility studies and processing of other data necessary for setting up of industries in the State and cooperate transformation.,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0.0,223,0.21405,0.23203,051300300100,Agency for Persons Living With Disabilities,23050101,RESEARCH AND DEVELOPMENT,71012,DISABILITY,33342400,State Wide,23060324000900,Disability Insurance and Disability Benefit
Construction of new block of offices for Chairman and 3 Permanent members of the Commission at Rehabilitation center,0.0,50000000.0,0.0,150000000.0,150000000.0,150000000.0,0.0,223,0.22222,0.2402,051300300100,Agency for Persons Living With Disabilities,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,71012,DISABILITY,33342400,State Wide,23060324001000,Disability Insurance and Disability Benefit
Construction of 3 Zonal Offices of the Commission at Goronyo and Kware L/Govt.,0.0,50000000.0,0.0,180000000.0,180000000.0,180000000.0,0.0,223,0.23039,0.24837,051300300100,Agency for Persons Living With Disabilities,23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,71012,DISABILITY,33342400,State Wide,23060324001100,Disability Insurance and Disability Benefit
General Renovation of Wammako Drop-in-Centre (Second chance education) at wammako LGA,0.0,0.0,0.0,400000000.0,400000000.0,400000000.0,0.0,223,0.27124,0.28922,051400100100,Ministry for Women Affairs,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70951,EDUCATION NOT DEFINABLE BY LEVEL,33312100,WAMAKKO,23030126000100,Women's Economic Empowerment
"Procurement of Menstrual Health and Hygiene commodities such as Sanitary Pads, hand sanitize, dettols, for distributions to in-school and out of school adolescents’ girls in the 23 LGAs.",0.0,0.0,0.0,20000000.0,20000000.0,20000000.0,0.0,223,0.28023,0.2982,051400100100,Ministry for Women Affairs,23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,70761,HEALTH N.E.C.,33342400,State Wide,04030326000102,Adolescent health
Construction and equiping of 1 SARC center at Shagari Local Govt.,0.0,0.0,0.0,300000000.0,300000000.0,300000000.0,0.0,223,0.2884,0.30637,051400100100,Ministry for Women Affairs,23020106,CONSTRUCTION / PROVISION OF HOSPITALS / HEALTH CENTRES,70761,HEALTH N.E.C.,33342400,State Wide,04030326000202,Adolescent health
General renovation/upgrading of Maryam Abacha Women and Children Hospital Sokoto.,0.0,400000000.0,0.0,800000000.0,800000000.0,800000000.0,0.0,223,0.29657,0.31454,051400100100,Ministry for Women Affairs,23030105,REHABILITATION / REPAIRS - HOSPITAL / HEALTH CENTRES,70761,HEALTH N.E.C.,33311600,SOKOTO NORTH,04050126000102,Functional health facilities
General renovation/upgrade of Maryam Abacha Multipurpose centre at Ibrahim Dasuki Road and Muhammad Bankanu Sokoto,0.0,200000000.0,0.0,600000000.0,600000000.0,600000000.0,0.0,223,0.30474,0.32271,051400100100,Ministry for Women Affairs,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70161,GENERAL PUBLIC SERVICES N.E.C.,33311700,SOKOTO SOUTH,23030126000200,Women's Economic Empowerment
Renovation of Maryam Abacha Multi-purpose centre for admission of children at Ibrahim Dasuki Road sokoto,0.0,350000000.0,0.0,0.0,0.0,0.0,0.0,223,0.31291,0.33088,051400100100,Ministry for Women Affairs,23030106,REHABILITATION / REPAIRS - PUBLIC SCHOOLS,70981,EDUCATION N.E.C,33311700,SOKOTO SOUTH,23030126000300,Women's Economic Empowerment
General renovation of women Development centre at Ibrahim Dasuki Road Sokoto,0.0,500000000.0,292003181.25,400000000.0,400000000.0,400000000.0,0.0,223,0.32108,0.33905,051400100100,Ministry for Women Affairs,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70981,EDUCATION N.E.C,33311700,SOKOTO SOUTH,23030126000400,Women's Economic Empowerment
"Renovation of model Women Development Centre in 8 LGAs phase I (Gada, Rabah, Gwadabawa, Dange Shuni, Sokoto South, Kebbe, Silame, Wamakko)",0.0,150000000.0,0.0,800000000.0,800000000.0,800000000.0,0.0,223,0.32925,0.34722,051400100100,Ministry for Women Affairs,23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,70981,EDUCATION N.E.C,33342400,State Wide,23030126000500,Women's Economic Empowerment
